2025-11-26 19:22:20,310 - INFO - 🛈     | scrape_log | Starting requests session for Robots.txt 🛈
2025-11-26 19:22:20,310 - INFO - 🛈     | scrape_log | Starting Selenium 🛈
2025-11-26 19:22:21,522 - SUCCESS - ☀  | scrape_log | Allowed to scrape : https://www.environmentallights.com/19072-px-spi-v2.html as per robots.txt ☀
2025-11-26 19:22:24,212 - INFO - 🛈     | scrape_log | OPENING FILE environmentallights_com/Pixel LED SPI Digital Controller 🛈
2025-11-26 19:22:24,292 - WATCHDOG - ⛨ | ENV_BS4 | ATTEMPTING TO EXTRACT: title ⛨
2025-11-26 19:22:24,794 - DEBUG - ⚕    | ENV_BS4 | RESULT: ['Pixel LED SPI Digital Controller'] ⚕
2025-11-26 19:22:24,795 - WATCHDOG - ⛨ | ENV_BS4 | ATTEMPTING TO EXTRACT: description ⛨
2025-11-26 19:22:25,299 - DEBUG - ⚕    | ENV_BS4 | RESULT: ['Pixel LED SPI Digital Controller'] ⚕
2025-11-26 19:22:25,299 - WATCHDOG - ⛨ | ENV_BS4 | ATTEMPTING TO EXTRACT: image_url ⛨
2025-11-26 19:22:25,800 - DEBUG - ⚕    | ENV_BS4 | RESULT: ['https://www.environmentallights.com/media/catalog/product/_/p/_px-spi-v2_1.jpg?quality=80&bg-color=255,255,255&fit=bounds&height=265&width=265&canvas=265:265'] ⚕
2025-11-26 19:22:25,801 - WATCHDOG - ⛨ | ENV_BS4 | ATTEMPTING TO EXTRACT: url ⛨
2025-11-26 19:22:26,302 - DEBUG - ⚕    | ENV_BS4 | RESULT: ['https://www.environmentallights.com/19072-px-spi-v2.html'] ⚕
2025-11-26 19:22:26,303 - WATCHDOG - ⛨ | ENV_BS4 | ATTEMPTING TO EXTRACT: product_info ⛨
2025-11-26 19:22:26,813 - DEBUG - ⚕    | ENV_BS4 | RESULT: [['The Mini LED Pixel Controller provides a wide array of color changing and chasing effects for both PixelPro and PixelControl products. The 32 different effects are pre-programmed and the RF remote can be used to modify speed, brightness and direction. Multiple effects can be linked to cycle through in a specified order and you can save favorite scenes into two memory slots. With Power-Off memory, it will return to the last setting when powered back on. This controller supports addressing for 8-1020 pixels and can be configured for any number in between. It can handle up to 10A of current at 5, 12 or 24V DC. For higher current applications, power the LEDs directly to bypass the 10A limit and use the control signal from the receiver.']] ⚕
2025-11-26 19:22:26,813 - WATCHDOG - ⛨ | ENV_BS4 | ATTEMPTING TO EXTRACT: product_info ⛨
